Empty,Complete,Download,Reference,ID,Control_ID,Treatment,Group,Additional_Group_Description,Visit,Intervention,DOI,Title,Tesla,Scanner_Manufacturer,Scanner_Model,N_Exclusions,N_Total,Female,Male,Age,Age_Std,Water_Supp,Lipid_Supp,Localization,Multi-Scan_Method,Water_Reference,Bandwidth (Hz),Vector-Size,N_Averages,TR (ms),N_TR,TE (ms),N_TE,TI (ms),N_TI,Voxel_Region,Left/Right/Both,Preprocessing,Metab-Nulled/Cycled,Fitting,Segmentation,Partial_Volume,Relaxation,Tissue,GM,GM_Std,WM,WM_Std,CSF,CSF_Std,Voxel_X,Voxel_Y,Voxel_Z,Volume,Contact,Notes,Site
,X,X,2008_shih_28,1,No Control,0,Healthy,,,,10.1002/jmri.21466,Vitamin C estimation with standard (1)H spectroscopy using a clinical 3T MR system: detectability and reliability within the human brain,3,Siemens,Trio,,25,,,27.5,6.35,,,PRESS,,0,1200,1024,,3000,1,30,1,,0,Cerebellum,,LCModel,0,LCModel,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2008_shih_28,2,No Control,0,Healthy,,,,10.1002/jmri.21466,Vitamin C estimation with standard (1)H spectroscopy using a clinical 3T MR system: detectability and reliability within the human brain,3,Siemens,Trio,,29,,,28.56,6.77,,,PRESS,,0,1200,1024,,3000,1,30,1,,0,Frontal,,LCModel,0,LCModel,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2008_shih_28,3,No Control,0,Healthy,,,,10.1002/jmri.21466,Vitamin C estimation with standard (1)H spectroscopy using a clinical 3T MR system: detectability and reliability within the human brain,3,Siemens,Trio,,7,,,18.6,16.09,,,PRESS,,0,1200,1024,,3000,1,30,1,,0,Parietal,,LCModel,0,LCModel,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2008_shih_28,4,No Control,0,Healthy,,,,10.1002/jmri.21466,Vitamin C estimation with standard (1)H spectroscopy using a clinical 3T MR system: detectability and reliability within the human brain,3,Siemens,Trio,,10,,,29.43,16.28,,,PRESS,,0,1200,1024,,3000,1,30,1,,0,Occipital,,LCModel,0,LCModel,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2008_shih_28,5,No Control,0,Healthy,,,,10.1002/jmri.21466,Vitamin C estimation with standard (1)H spectroscopy using a clinical 3T MR system: detectability and reliability within the human brain,3,Siemens,Trio,,5,,,26.4,15.61,,,PRESS,,0,1200,1024,,3000,1,30,1,,0,Unknown,,LCModel,0,LCModel,,0,0,,,,,,,,20,20,20,8,,,
,X,X,2010_terpstra_24,1,No Control,0,Healthy,Sham,0Hours,Vitamin C Infusion,10.1002/nbm.1619,Noninvasive quantification of human brain antioxidant concentrations after an intravenous bolus of vitamin C,4,Siemens/Oxford,,2,11,8,3,28,13,,,PRESS,MEGA,1,6000,4035,96,4500,1,102/112/122/132/142/152,6,,0,Occipital,Both,LCModel,0,LCModel,,0,1,,,,,,,,30,30,30,27,,,
,X,X,2010_terpstra_24,2,No Control,0,Healthy,Sham,2Hours,Vitamin C Infusion,10.1002/nbm.1619,Noninvasive quantification of human brain antioxidant concentrations after an intravenous bolus of vitamin C,4,Siemens/Oxford,,2,11,8,3,28,13,,,PRESS,MEGA,1,6000,4035,96,4500,1,102/112/122/132/142/152,6,,0,Occipital,Both,LCModel,0,LCModel,,0,1,,,,,,,,30,30,30,27,,,
,X,X,2010_terpstra_24,3,No Control,0,Healthy,Sham,6Hours,Vitamin C Infusion,10.1002/nbm.1619,Noninvasive quantification of human brain antioxidant concentrations after an intravenous bolus of vitamin C,4,Siemens/Oxford,,2,11,8,3,28,13,,,PRESS,MEGA,1,6000,4035,96,4500,1,102/112/122/132/142/152,6,,0,Occipital,Both,LCModel,0,LCModel,,0,1,,,,,,,,30,30,30,27,,,
,X,X,2010_terpstra_24,4,No Control,0,Healthy,Sham,10Hours,Vitamin C Infusion,10.1002/nbm.1619,Noninvasive quantification of human brain antioxidant concentrations after an intravenous bolus of vitamin C,4,Siemens/Oxford,,2,11,8,3,28,13,,,PRESS,MEGA,1,6000,4035,96,4500,1,102/112/122/132/142/152,6,,0,Occipital,Both,LCModel,0,LCModel,,0,1,,,,,,,,30,30,30,27,,,
,X,X,2010_terpstra_24,5,No Control,0,Healthy,Sham,24Hours,Vitamin C Infusion,10.1002/nbm.1619,Noninvasive quantification of human brain antioxidant concentrations after an intravenous bolus of vitamin C,4,Siemens/Oxford,,2,11,8,3,28,13,,,PRESS,MEGA,1,6000,4035,96,4500,1,102/112/122/132/142/152,6,,0,Occipital,Both,LCModel,0,LCModel,,0,1,,,,,,,,30,30,30,27,,,
,X,X,2010_terpstra_24,6,No Control,0,Healthy,Treated,0Hours,Vitamin C Infusion,10.1002/nbm.1619,Noninvasive quantification of human brain antioxidant concentrations after an intravenous bolus of vitamin C,4,Siemens/Oxford,,10,11,8,3,28,13,,,PRESS,MEGA,1,6000,4035,96,4500,1,102/112/122/132/142/152,6,,0,Occipital,Both,LCModel,0,LCModel,,0,1,,,,,,,,30,30,30,27,,,
,X,X,2010_terpstra_24,7,No Control,0,Healthy,Treated,2Hours,Vitamin C Infusion,10.1002/nbm.1619,Noninvasive quantification of human brain antioxidant concentrations after an intravenous bolus of vitamin C,4,Siemens/Oxford,,10,11,8,3,28,13,,,PRESS,MEGA,1,6000,4035,96,4500,1,102/112/122/132/142/152,6,,0,Occipital,Both,LCModel,0,LCModel,,0,1,,,,,,,,30,30,30,27,,,
