Completed,Download,Reference,ID,Group,Add_Description,Breed,Old_Name,Old_ID,DOI,Title,Tesla,Scanner,Model,Acq_Type,Subject,N_Exclusions,N_Total,Female,Male,Age,Age_Std,Age_Unit,Water_Supp,Lipid_Supp,Metab-Modifier,TI,N_TI,T2_Filter,Localization,Multi-Scan_Method,Water_Reference,Bandwidth (Hz),Vector-Size,N_Averages,TR,N_TR,TE,N_TE,Processing,Fit,T1_Corrected,Fit_Type,Segmentation,Region,Tissue,GM,GM_Std,WM,WM_Std,CSF,CSF_Std,Voxel_X,Voxel_Y,Voxel_Z,Volume,Notes,Contact,Emailed,PerCom,Volume
1,X,2017_an_78,1,Healthy,,,"An et al., 2017",E,10.1002/mrm.26612,"Simultaneous determination of metabolite concentrations, T1 and T2 relaxation times",7,Siemens,,In Vivo,Human,,11,3,6,28,8,Years,VAPOR,,Nulled,0-244,6,0,PRESS,J-Suppressed,,,,,3000,1,90-256,15,In-House,In-House,,,In-House,Frontal,GM,66,8,31,8,3,1,20,20,20,8,2 Subjects Scanned Twice (9 Subs + 2 Extra = 11 Total),,,,78
1,X,2017_an_78,2,Healthy,,,"An et al., 2017",F,10.1002/mrm.26612,"Simultaneous determination of metabolite concentrations, T1 and T2 relaxation times",7,Siemens,,In Vivo,Human,,11,3,6,28,8,Years,VAPOR,,Nulled,0-244,6,0,PRESS,J-Suppressed,,,,,3000,1,90-256,15,In-House,In-House,,,In-House,Frontal,WM,18,8,81,8,1,1,20,20,20,8,2 Subjects Scanned Twice (9 Subs + 2 Extra = 11 Total),,,,78
1,X,2017_an_78,3,Healthy,,,"An et al., 2017",G,10.1002/mrm.26612,"Simultaneous determination of metabolite concentrations, T1 and T2 relaxation times",7,Siemens,,In Vivo,Human,,9,3,6,28,8,Years,VAPOR,,Nulled,0-244,6,0,PRESS,J-Suppressed,,,,,3000,1,100-170,3,In-House,In-House,,,In-House,Frontal,GM,66,8,31,8,3,1,20,20,20,8,2 Subjects Scanned Twice (9 Subs + 2 Extra = 11 Total),,,,78
1,X,2017_an_78,4,Healthy,,,"An et al., 2017",H,10.1002/mrm.26612,"Simultaneous determination of metabolite concentrations, T1 and T2 relaxation times",7,Siemens,,In Vivo,Human,,9,3,6,28,8,Years,VAPOR,,Nulled,0-244,6,0,PRESS,J-Suppressed,,,,,3000,1,100-170,3,In-House,In-House,,,In-House,Frontal,WM,18,8,81,8,1,1,20,20,20,8,2 Subjects Scanned Twice (9 Subs + 2 Extra = 11 Total),,,,78
1,X,2013_andreychenko_26,1,Healthy,,,"Andreychenko et al., 2013",B,10.1002/nbm.2997,In vivo GABA T2 determination with J-refocused echo time extension at 7 T,7,Philips,,In Vivo,Human,,10,,,,,,,,,Oct-00,8,0,semi-LASER,MEGA,,,,64,4100,1,74-222,10,In-House,In-House,,,,Occipital,Unknown,,,,,,,,,,27,,a.andreychenko@umcutrecht.nl,,,26
1,X,2001_barker_45,1,Healthy,,,"Barker et al., 2001",A,10.1002/mrm.1104,Single-voxel proton MRS of the human brain at 1.5T and 3.0T,1.5,GE,Signa Horizon Echospeed,In Vivo,Human,,5,2,3,37,5,Years,CHESS,,,,,0,STEAM,,,2500,2048,128,3000,1,20- 272,4,In-House,In-House,,Monoexponential,,Centrum Semiovale,WM,,,,,,,20,20,20,8,,,,,45
1,X,2001_barker_45,2,Healthy,,,"Barker et al., 2001",B,10.1002/mrm.1104,Single-voxel proton MRS of the human brain at 1.5T and 3.0T,3,SMIS,,In Vivo,Human,,5,2,3,37,5,Years,CHESS,,,,,0,STEAM,,,2500,2048,128,3000,1,20- 272,4,In-House,In-House,,Monoexponential,,Centrum Semiovale,WM,,,,,,,20,20,20,8,,,,,45
1,X,1994_behar_32,1,Control,,,"Behar et al., 1994",B,10.1002/mrm.1910320304,Analysis of macromolecule resonances in 1H NMR spectra of human brain,2.1,Bruker,,In Vivo,Human,,4,,,,,,Custom,,Nulled,,,0,ISIS,DANTE,,,,,4450,1,19.4-145.2,5,In-House,In-House,,Monoexponential,Manual,Occipital,Und,,,,,,,17,40,40,27.2,Macromolecules,,,,32
,X,1994_behar_32,2,Epilepsy,,,"Behar et al., 1994",E,10.1002/mrm.1910320304,Analysis of macromolecule resonances in 1H NMR spectra of human brain,8.4,Bruker,,In Vitro,Human,,1,,,,,,,,,,,0,COSY,J-Resolved,,,,,,,,,In-House,In-House,,,,,Unknown,,,,,,,,,,0,8.4 conc not found,,,,32
1,X,1994_blamire_12,1,Control,,,,,10.1016/0730-725X(94)90087-8,Proton spectroscopy of human stroke: Assessment of transverse relaxation times and partial volume effects in single volume STEAM MRS,2.1,Bruker,Biospec 1,In Vivo,Human,13,13,10,3,70,12.67,Years,Custom,,,,,0,STEAM,,,1250,512,256,2800,1,"30.4,270",2,In-House,In-House,,Monoexponential,Manual,,Unknown,,,,,,,20,20,20,8,Control Voxel Place in same Region as Matched Patient's Lesion,,,,
1,X,1994_blamire_12,2,Stroke,,,,,10.1016/0730-725X(94)90087-8,Proton spectroscopy of human stroke: Assessment of transverse relaxation times and partial volume effects in single volume STEAM MRS,2.1,Bruker,Biospec 1,In Vivo,Human,7,13,10,3,70,12.67,Years,Custom,,,,,0,STEAM,,,1250,512,256,2800,1,"30.4,270",2,In-House,In-House,,Monoexponential,Manual,Lesion,Unknown,,,,,,,20,20,20,8,,,,,
1,X,1998_block_55,1,Control,,,"Block et al., 1998",,10.1001/archneur.55.7.931,Proton Magnetic Resonance Spectroscopy of the Primary Motor Cortex in Patients with Motor Neuron Disease,1.5,Philips,Gyroscan,In Vivo,Human,,33,12,21,50,13,Years,Custom,,,,,0,PRESS,,,,,32,3000,1,"50,136,272,400,600",5,In-House,In-House,,Monoexponential,,Motor Cortex,Unknown,,,,,,,40,30,25,30,,,,,55
1,X,1998_block_55,2,ALS,,,"Block et al., 1998",,10.1001/archneur.55.7.931,Proton Magnetic Resonance Spectroscopy of the Primary Motor Cortex in Patients with Motor Neuron Disease,1.5,Philips,Gyroscan,In Vivo,Human,,33,12,21,50,13,Years,Custom,,,,,0,PRESS,,,,,32,3000,1,"50,136,272,400,600",5,In-House,In-House,,Monoexponential,,Motor Cortex,Unknown,,,,,,,40,30,25,30,,,,,55
1,X,2014_branzoli_27,1,Healthy,044ms_0000,,,,10.1002/nbm.3085,The interaction between apparent diffusion coefficients and transverse relaxation rates of human brain metabolites and water studied by diffusion-weighted spectroscopy at 7 T,7,Philips,Achieva,In Vivo,Human,16,16,7,9,29,9,Years,WET,,,,,0,STEAM,,,3000,1024,,3000,1,"63,90,160",3,Custom,LCModel,,Stretched-Exponential,,Parietal,WM,,,,,,,30,20,19,11.4,,,,,27
