Empty,Metabolite,Name,Reference,ID,Group,DOI,tCr_u,tCr_std,IU_u,IU_std,mM_u,mM_std,Notes
,Ala,Ala,2021_akiyama_61,1,Control,10.2176/nmc.oa.2020-0274,,,0.44,0.03,,,
,Ala,Ala,2021_akiyama_61,2,NPH,10.2176/nmc.oa.2020-0274,,,0.48,0.89,,,
,Ala,Ala,2016_koob_11,1,Premature Neonates,10.1371/journal.pone.0160990,,,0.004,0.007,,,
,Ala,Ala,2016_koob_11,3,Infants - Control,10.1371/journal.pone.0160990,,,0.008,0.013,,,
,Ala,Ala,2019_wagoner_317,1,Non-OI,10.1152/ajpheart.00680.2018,,,1.9,0.212,,,
,Ala,Ala,2019_wagoner_317,2,OI,10.1152/ajpheart.00680.2018,,,2.6,1.327,,,
,Ala,Ala,2020_dehghani_83,3,Protocol 3,10.1002/mrm.28066,,,0.08,0.1,,,
,Ala,Ala,2016_lopezkolkovsky_75,1,Healthy_Rodent,10.1002/mrm.25602,,,,,1,0.2,
,Asc,Asc,2018_bednarik_38,1,Healthy,10.1177/0271678X17695291,,,,,0.98,0.14,
,Asc,Asc,2020_boillat_40,1,Baseline,10.1177/0271678X19831022,,,1.34,0.07,,,
,Asc,Asc,2020_boillat_40,2,positive BOLD,10.1177/0271678X19831022,,,0.06,0.15,,,
,Asc,Asc,2020_boillat_40,3,Baseline,10.1177/0271678X19831022,,,1.3,0.06,,,
,Asc,Asc,2020_boillat_40,4,negative BOLD,10.1177/0271678X19831022,,,0.09,0.26,,,
,Asc,Asc,2019_betinaip_39,1,Behavior - ON - 3% Visual Contrast,10.1523/JNEUROSCI.3021-18.2019,,,2.139,0.358,,,
,Asc,Asc,2019_betinaip_39,2,Behavior - ON - 12.5% Visual Contrast,10.1523/JNEUROSCI.3021-18.2019,,,2.133,0.379,,,
,Asc,Asc,2019_betinaip_39,3,Behavior - ON - 50% Visual Contrast,10.1523/JNEUROSCI.3021-18.2019,,,2.245,0.35,,,
,Asc,Asc,2019_betinaip_39,4,Behavior - ON - 100% Visual Contrast,10.1523/JNEUROSCI.3021-18.2019,,,2.132,0.379,,,
,Asc,Asc,2019_betinaip_39,5,Resting,10.1523/JNEUROSCI.3021-18.2019,,,2.158,0.406,,,
