Metabolite,Name,PPM,Reference,ID,DOI,Subject,Tesla,T2,StdDev,R2,Notes,Old_Name,Old_ID
Asc,Asc,"4.492, 4.002, 3.743, 3.716",2018_wyss_80,1,10.1002/mrm.27067,Human,3,172,25,5.814,,"Wyss et al., 2018",A
Asc,Asc,"4.492, 4.002, 3.743, 3.716",2018_wyss_80,2,10.1002/mrm.27067,Human,3,105,16,9.5238,,"Wyss et al., 2018",B
Asc,Asc,"4.492, 4.002, 3.743, 3.716",2018_wyss_80,3,10.1002/mrm.27067,Human,3,125,19,8,,"Wyss et al., 2018",C
Asc,Asc,3.73,2011_emir_24,1,10.1002/nbm.1583,Human,4,55.7,5.57,17.9533,Assumed 10% Std.Dev.,"Emir et al., 2010",A
Asp,Asp,"3.89, 2.80, 2.65",2019_menshchikov_82,1,10.1002/mrm.27700,Human,3,165,37,6.0606,,"Menshchikov et al., 2019",A
Asp,Asp,"3.891, 2.801, 2.653",2018_wyss_80,1,10.1002/mrm.27067,Human,3,148,21,6.7568,,"Wyss et al., 2018",A
Asp,Asp,"3.891, 2.801, 2.653",2018_wyss_80,2,10.1002/mrm.27067,Human,3,90,27,11.1111,,"Wyss et al., 2018",B
Asp,Asp,"3.891, 2.801, 2.653",2018_wyss_80,3,10.1002/mrm.27067,Human,3,111,20,9.009,,"Wyss et al., 2018",C
Asp,Asp,,2020_murali-manohar_84,1,10.1002/mrm.28174,Human,9.4,54.4,11.5,18.3824,,"Murali-Manohar et al., 2019",A
Asp,Asp,,2015_lopez-kolkovsky_75,1,10.1002/mrm.25602,Rat,17.2,77,14,12.987,,"Lopez-Kolkovsky et al., 2015",B
tcho,GPC_Gly,"3.605, 3.672, 3.903, 3.871, 3.946",2018_wyss_80,1,10.1002/mrm.27067,Human,3,182,22,5.4945,,,
tcho,GPC_Gly,"3.605, 3.672, 3.903, 3.871, 3.946",2018_wyss_80,2,10.1002/mrm.27067,Human,3,213,56,4.6948,,,
tcho,GPC_Gly,"3.605, 3.672, 3.903, 3.871, 3.946",2018_wyss_80,3,10.1002/mrm.27067,Human,3,257,57,3.8911,,,
tcho1,GPC_Mult,"4.312, 3.659",2018_wyss_80,1,10.1002/mrm.27067,Human,3,178,20,5.618,,,
tcho1,GPC_Mult,"4.312, 3.659",2018_wyss_80,2,10.1002/mrm.27067,Human,3,190,48,5.2632,,,
tcho1,GPC_Mult,"4.312, 3.659",2018_wyss_80,3,10.1002/mrm.27067,Human,3,242,52,4.1322,,,
Cho,GPC,,2001_barker_45,1,10.1002/mrm.1104,Human,1.5,400,80,2.5,,"Barker et al., 2001",A
Cho,GPC,,1998_block_55,1,10.1001/archneur.55.7.931,Human,1.5,307,21,3.2573,,"Block et al., 1998",
Cho,GPC,,1998_block_55,2,10.1001/archneur.55.7.931,Human,1.5,297,23,3.367,,"Block et al., 1998",
Cho,GPC,3.2,2005_brief_18,1,10.1002/nbm.916,Human,1.5,249,23.14,4.0161,,"Brief et al., 2005",A
Cho,GPC,3.2,2005_brief_18,2,10.1002/nbm.916,Human,1.5,239,12.65,4.1841,,"Brief et al., 2005",B
Cho,GPC,,2001_brooks_11,1,10.1093/cercor/11.7.598,Human,1.5,556,214,1.7986,,,
tCho,GPC,3.2,2019_carlin_49,1,10.1002/jmri.26054,Human,1.5,372,176,2.6882,,,
tCho,GPC,3.2,2019_carlin_49,5,10.1002/jmri.26054,Human,1.5,587,143,1.7036,,,
tCho,GPC,3.2,2019_carlin_49,8,10.1002/jmri.26054,Human,1.5,344,122,2.907,,,
tCho,GPC,3.2,2019_carlin_49,9,10.1002/jmri.26054,Human,1.5,313,154,3.1949,,,
Cho,GPC,,1993_christiansen_11,1,10.1016/0730-725x(93)90197-l,Human,1.5,360,156,2.7778,,,
Cho,GPC,,1993_christiansen_11,2,10.1016/0730-725x(93)90197-l,Human,1.5,335,75,2.9851,,,
Cho,GPC,,1993_christiansen_11,3,10.1016/0730-725x(93)90197-l,Human,1.5,425,389,2.3529,,,
Cho,GPC,,1993_christiansen_11,4,10.1016/0730-725x(93)90197-l,Human,1.5,372,266,2.6882,,,
Cho,GPC,,1993_christiansen_11,5,10.1016/0730-725x(93)90197-l,Human,1.5,248,133,4.0323,,,
Cho,GPC,,1993_christiansen_11,6,10.1016/0730-725x(93)90197-l,Human,1.5,364,200,2.7473,,,
Cho,GPC,,1993_christiansen_11,7,10.1016/0730-725x(93)90197-l,Human,1.5,359,300,2.7855,,,
